Stim,CorrResp,Ctx_color,KeyNum,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Bool.thisRepN,CR_Bool.thisTrialN,CR_Bool.thisN,CR_Bool.thisIndex,CR_Grp_B_Bool.thisRepN,CR_Grp_B_Bool.thisTrialN,CR_Grp_B_Bool.thisN,CR_Grp_B_Bool.thisIndex,CR_Iter_Ctx1.thisRepN,CR_Iter_Ctx1.thisTrialN,CR_Iter_Ctx1.thisN,CR_Iter_Ctx1.thisIndex,CR_Iter_Ctx2.thisRepN,CR_Iter_Ctx2.thisTrialN,CR_Iter_Ctx2.thisN,CR_Iter_Ctx2.thisIndex,CR_Grp_R_Bool.thisRepN,CR_Grp_R_Bool.thisTrialN,CR_Grp_R_Bool.thisN,CR_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,TR_Bool.thisRepN,TR_Bool.thisTrialN,TR_Bool.thisN,TR_Bool.thisIndex,TR_Block.thisRepN,TR_Block.thisTrialN,TR_Block.thisN,TR_Block.thisIndex,TR_Iter.thisRepN,TR_Iter.thisTrialN,TR_Iter.thisN,TR_Iter.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Remap_Ctx,Remap_Two_Pair,Remap_One_Pair,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Pre_Trial_Circle_Frame_Hand.started,Pre_Trial_Circle_Frame_Hand.stopped,Symbol,ctx,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Session,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Text_Ctx1.started,Instr_CR_Text_Ctx1.stopped,Instr_CR_Press_Ctx1.keys,Instr_CR_Press_Ctx1.rt,Instr_CR_Press_Ctx1.started,Instr_CR_Press_Ctx1.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Shape,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,Instr_RT_Text.started,Instr_RT_Text.stopped,Instr_RT_Press.keys,Instr_RT_Press.rt,Instr_RT_Press.started,Instr_RT_Press.stopped,Instr_TR_text.started,Instr_TR_text.stopped,Instr_TR_Press.keys,Instr_TR_Press.rt,Instr_TR_Press.started,Instr_TR_Press.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23011289999704,None,3,0,3,Hand,l,RT,0,0,2,1,0,1,0,1,16.23011289999704,None,16.463186800014228,None,l,1,0.3218140999961179,16.463186800014228,None,16.463186800014228,None,16.463186800014228,None,16.81352200001129,None,16.81352200001129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.150859900022624,None,1,0,1,Hand,u,RT,0,0,3,1,0,1,0,1,17.150859900022624,None,17.362407600012375,None,u,1,0.3177875000110362,17.362407600012375,None,17.362407600012375,None,17.362407600012375,None,17.71395480001229,None,17.71395480001229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.20481130000553,None,2,0,2,Hand,i,TR,0,0,0,1,0,1,0.3012884718131097,1,19.20481130000553,None,,,,,,,,,,,,,,,,18.058658099995228,None,h,0.58154739998281,18.058658099995228,None,18.663245200004894,None,h,0.5130302999750711,18.663245200004894,None,19.445897800003877,None,19.445897800003877,None,19.445897800003877,None,20.74292439999408,None,l,0,1.6192277000227477,19.445897800003877,None,21.131118400022388,None,21.131118400022388,None,21.131118400022388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.451663400017424,None,3,0,3,Hand,l,TR,0,0,1,1,0,1,0.7870823495717437,1,21.451663400017424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.671161600010237,None,21.671161600010237,None,21.671161600010237,None,22.476555600005668,None,l,1,1.6173761000100058,21.671161600010237,None,23.348609700013185,None,23.348609700013185,None,23.348609700013185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.66461090001394,None,0,0,0,Hand,h,TR,0,0,2,1,0,1,0.4246160401436445,1,23.66461090001394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.896878900006413,None,23.896878900006413,None,23.896878900006413,None,25.076120400015498,None,h,1,1.655433499981882,23.896878900006413,None,25.581113299995195,None,25.581113299995195,None,25.581113299995195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.900050900003407,None,3,0,3,Hand,l,TR,0,0,3,1,0,1,0.2660771717970287,1,25.900050900003407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.114025600021705,None,26.114025600021705,None,26.114025600021705,None,27.442912900005467,None,u,0,1.646088100009365,26.114025600021705,None,27.77989500001422,None,27.77989500001422,None,27.77989500001422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63214820000576,None,2,0,2,Hand,i,TR,0,0,0,1,0,2,1.452259387577397,1,28.63214820000576,None,,,,,,,,,,,,,,,,,,,,,,28.102144700009376,None,u,0.5061042999732308,28.102144700009376,None,28.848548800015124,None,28.848548800015124,None,28.848548800015124,None,28.993081699998584,None,i,1,1.6558380000060424,28.848548800015124,None,30.538850100012496,None,30.538850100012496,None,30.538850100012496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.85421230000793,None,3,0,3,Hand,l,TR,0,0,1,1,0,2,1.5170335935096235,1,30.85421230000793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.06399419999798,None,31.06399419999798,None,31.06399419999798,None,31.14327250001952,None,l,1,1.4642050999973435,31.06399419999798,None,32.57163380002021,None,32.57163380002021,None,32.57163380002021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.881775000016205,None,0,0,0,Hand,h,TR,0,0,2,1,0,2,0.063128176148874,1,32.881775000016205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09728350001387,None,33.09728350001387,None,33.09728350001387,None,None,None,l,0,1.3113355999812484,33.09728350001387,None,34.44021309999516,None,34.44021309999516,None,34.44021309999516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.74800590000814,None,1,0,1,Hand,u,TR,0,0,3,1,0,2,1.1977465162708816,1,34.74800590000814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.980317700013984,None,34.980317700013984,None,34.980317700013984,None,35.376407900010236,None,u,1,1.6361281000135932,34.980317700013984,None,36.65252810000675,None,36.65252810000675,None,36.65252810000675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Symb,h,CR,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,41.30984170001466,None,41.30984170001466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.972457199997734,None,u,2.8279015000152867,36.972457199997734,None,39.831479900021804,None,media/djnb.png,40.0568189000187,40.0568189000187,40.0568189000187,None,40.0568189000187,None,h,1,1.1686760000011418,40.0568189000187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Symb,u,CR,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,42.95002680001198,None,42.95002680001198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.63314670001273,None,media/dnnb.png,41.85094870001194,41.85094870001194,41.85094870001194,None,41.85094870001194,None,u,1,1.0132512999989558,41.85094870001194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Symb,h,CR,0,0,2,1,0,1,0,1,,,,,,,,,,,,,,44.193908000015654,None,44.193908000015654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.27454860002035,None,media/djnb.png,43.49491120001767,43.49491120001767,43.49491120001767,None,43.49491120001767,None,h,1,0.6174662999983411,43.49491120001767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,Symb,l,CR,0,0,3,1,0,1,0,1,,,,,,,,,,,,,,45.487999800010584,None,45.487999800010584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.537593600020045,None,media/dinb.png,44.76018100001966,44.76018100001966,44.76018100001966,None,44.76018100001966,None,l,1,0.6326268999837339,44.76018100001966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,Symb,i,CR,0,0,4,1,0,1,0,1,,,,,,,,,,,,,,46.744011300004786,None,46.744011300004786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.80867450000369,None,media/ddnb.png,46.01479390001623,46.01479390001623,46.01479390001623,None,46.01479390001623,None,i,1,0.6185733999882359,46.01479390001623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,Symb,l,CR,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,49.643278100003954,None,49.643278100003954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.64395310002146,None,media/ddnb.png,47.85412709999946,47.85412709999946,47.85412709999946,None,47.85412709999946,None,h,0,1.660305800003698,47.85412709999946,None,47.06284450000385,None,h,0.5380279000091832,47.06284450000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,Symb,l,CR,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,51.42247310001403,None,51.42247310001403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.69270499999402,None,media/ddnb.png,50.90012560001924,50.90012560001924,50.90012560001924,None,50.90012560001924,None,l,1,0.41322760001639836,50.90012560001924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,Symb,i,CR,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,53.825222500017844,None,53.825222500017844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.756154000002425,None,media/dnnb.png,51.979520299995784,51.979520299995784,51.979520299995784,None,51.979520299995784,None,i,1,1.7574536000029184,51.979520299995784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,Symb,l,CR,0,0,2,1,0,1,0,1,,,,,,,,,,,,,,55.138351900008274,None,55.138351900008274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.151688800018746,None,media/ddnb.png,54.363712399994256,54.363712399994256,54.363712399994256,None,54.363712399994256,None,l,1,0.6932826999982353,54.363712399994256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,Symb,u,CR,0,0,3,1,0,1,0,1,,,,,,,,,,,,,,56.30608690000372,None,56.30608690000372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.462732200016035,None,media/djnb.png,55.67694100001245,55.67694100001245,55.67694100001245,None,55.67694100001245,None,h,0,0.5234160000109114,55.67694100001245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,Symb,u,CR,0,1,3,1,0,1,0,1,,,,,,,,,,,,,,57.83648960001301,None,57.83648960001301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.33569599999464,None,media/djnb.png,57.543784300010884,57.543784300010884,57.543784300010884,None,57.543784300010884,None,u,1,0.2326048999966588,57.543784300010884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,Symb,u,CR,0,0,4,1,0,1,0,1,,,,,,,,,,,,,,59.04861070000334,None,59.04861070000334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.155761800007895,None,media/djnb.png,58.36062230000971,58.36062230000971,58.36062230000971,None,58.36062230000971,None,u,1,0.6158317000081297,58.36062230000971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,Symb,i,CR,0,0,5,1,0,1,0,1,,,,,,,,,,,,,,60.46934810001403,None,60.46934810001403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.381461500015575,None,media/dnnb.png,59.59818100000848,59.59818100000848,59.59818100000848,None,59.59818100000848,None,i,1,0.7863458000065293,59.59818100000848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,Symb,h,CR,0,0,6,1,0,1,0,1,,,,,,,,,,,,,,61.612154200003715,None,61.612154200003715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.81239100001403,None,media/dinb.png,61.02674470000784,61.02674470000784,61.02674470000784,None,61.02674470000784,None,h,1,0.5020437999919523,61.02674470000784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,Symb,l,RT,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,70.1903239999956,None,70.1903239999956,None,,,,,,,67.07928200002061,None,h,0.5217229999834672,67.07928200002061,None,,,,,,,,,,,,,,,,,,,,,,,,,,67.62766240001656,None,media/dinb.png,67.82670700000017,67.82670700000017,67.82670700000017,None,67.82670700000017,None,l,1,2.310275099996943,67.82670700000017,None,,,,,,,61.96084990000236,None,h,5.087553499994101,61.96084990000236,None,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Symb,h,RT,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,72.46643339999719,None,72.46643339999719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4930527000106,None,media/djnb.png,70.69376940000802,70.69376940000802,70.69376940000802,None,70.69376940000802,None,h,1,1.746472900005756,70.69376940000802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Symb,u,RT,0,0,2,1,0,1,0,1,,,,,,,,,,,,,,73.41680269999779,None,73.41680269999779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.77670560000115,None,media/dnnb.png,72.97690500001772,72.97690500001772,72.97690500001772,None,72.97690500001772,None,u,1,0.41537530001369305,72.97690500001772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_10_1122,Context_Learning_Pilot,2020.1.3,59.940107845248136,
